Experiment,Subject,ID,Procedure[Block],Trial,Prime[Trial],PrimeCondition,Stimuli1,Target[Trial],TargetDefinition.RESP[Trial],ResponseRT,State,StateRT,TargetResponse.RESP[Trial],TargetResponse.RT[Trial],TargetAccuracy,PrimeIntrusion,PrimeResponse,PrimeResponseRT,PrimeResp_ACC,RTRecognisePrime,RTRecogniseTarget,PrimeDef.RESP,PrimeFirstResp_ACC,PrimeDef.RT
PrimeFlash,1PrimeFlash,1,S1,55,r e s i g n ,R,1,a b d i c a t e ,abdicate{SPACE},3043,1,960,abdicate{SPACE},2614,1,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,22,n a t i v e ,R,2,a b o r i g i n e,{SHIFT}Aborigine{SPACE},8143,1,1169,aborigine{SPACE},1928,1,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,62,r e f u s e ,R,3,a b s t a i n,abstain{SPACE},6094,1,1704,abstain{SPACE},1203,1,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,57,c o n d o n e,R,4,a d v o c a t e ,advocate{SPACE},4882,1,1120,advocate{SPACE},1400,1,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,5,B r o n t e ,R,5,A l c o t t ,{SHIFT}{SHIFT}Alcott{SPACE},8138,1,734,{SHIFT}Alcott{SPACE},2034,1,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,60,m i s p l a c e ,R,6,a n a c h r o n i s m,anachronistic{SPACE},6645,3,1207,anachronistic{SPACE},3054,1,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,34,p u z z l e ,R,7,a n a g r a m,{SPACE},9466,2,708,anagram{SPACE},1418,0,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,33,H i m a l a y a s,R,8,A n d e s,{SHIFT}Andes{SPACE},2770,1,954,{SHIFT}Andes{SPACE},1080,1,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,61,C i n d e r e l l a ,R,9,A u r o r a ,{SHIFT}Aurora{SPACE},3676,1,397,{SHIFT}Aurora{SPACE},1502,1,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,63,V i e t n a m,R,10,B a n g k o k,{SHIFT}Bangkok{SPACE},5391,1,615,{SHIFT}Bangkok{SPACE},1781,1,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,14,t a r i f f ,R,11,b a r t e r ,,0,4,2054,barter{SPACE},1535,0,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,29,M e s s i,R,12,B e c k h a m,{SHIFT}Beckham{SPACE},7854,1,988,{SHIFT}Beckham{SPACE},1721,1,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,12,e q u a t i o n ,R,13,b i n o m i a l ,expression{SPACE},8032,1,1143,binomial{SPACE},2412,0,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,8,s k e l e t o n ,R,14,c a r c a s s,carcass{SPACE},3517,1,1974,carcass{SPACE},1818,1,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,71,R o w l i n g,R,15,C a r r o l l,{SPACE},3914,2,594,{SHIFT}Carroll{SPACE},1625,0,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,9,g e c k o,R,16,c h a m e l e o n,chameleon{SPACE},4365,1,849,chameleon{SPACE},1982,1,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,47,T h a t c h e r ,R,17,C h u r c h i l l,{SHIFT}{SHIFT}{SPACE},7781,4,2279,{SHIFT}Churchill{SPACE},2144,0,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,48,S a w y e r ,R,18,C l e m e n s,{SPACE},4755,2,470,{SHIFT}Clemens{SPACE},1847,0,0,,,,,,,,
PrimeFlash,1PrimeFlash,1,S1,53,C o n g r e s s ,P,19,c o n g r u e n t,mirror{SPACE},4933,2,1761,congruent{SPACE},2002,0,0,,,,,,,,
