Subject,Session,Procedure[Block],Trial,ActualPrime,PrimeDef.RESP[Trial],PrimeDef.RT[Trial],PrimeDefinition[Trial],PrimeLength,PrimeResponse.RESP[Trial],PrimeResponse.RT[Trial],Stimuli1,StimuliNo,Target[Trial],TargetDefinition.RESP[Trial],TargetDefinition.RT[Trial],TargetQuestion.RESP[Trial],TargetQuestion.RT[Trial],TargetResponse.RESP[Trial],TargetResponse.RT[Trial],CuedRecallAcc,TargetAccuracy
1,1,S1,144,ALIVE,night{SPACE},2632,LIGHT,5,alive{SPACE},1877,1,1,A B D I C A T E ,abdocate{SPACE},5411,1,874,a{LEFTARROW}{LEFTARROW}bdicate{SPACE},6656,0,1
1,1,S1,145,CIRCLE,{SPACE},1918,DRY,6,circle{SPACE},1768,2,2,A B O R I G I N E,ame,9359,2,2287,{SPACE},1649,0,0
1,1,S1,109,SIT,zoo{SPACE},2381,SOFT,3,sit{SPACE},944,3,6,A B S T A I N,{SPACE},4375,2,986,abstain{SPACE},2544,0,0
1,1,S1,148,FLOWER,{SPACE},4286,ARROW,6,flower{SPACE},1257,4,7,A D V O C A T E ,{SPACE},3810,3,1838,advocate{SPACE},2984,0,0
1,1,S1,121,LION,tree{SPACE},4822,VINE,4,lion{SPACE},1863,5,8,A L C O T T ,{SPACE},1782,2,1096,alcott{SPACE},1563,0,0
1,1,S1,105,GLUE,{SPACE},3235,EMPTY,4,glue{SPACE},1164,6,9,A N A C H R O N I S M,{SPACE},7193,3,5779,{SPACE},3268,0,0
1,1,S1,124,GOLD,lost{SPACE},4859,CREDIT,4,gold{SPACE},1107,7,10,A N A G R A M,{SPACE},6769,4,5150,anagram{SPACE},1552,0,0
1,1,S1,139,ANIMAL,{SPACE},3417,FUEL,6,animal{SPACE},1538,8,11,A N D E S,{SPACE},5023,4,934,andes{SPACE},1593,0,0
1,1,S1,131,COLD,cold{SPACE},2075,TOUCH,4,cold{SPACE},994,9,11,A U R O R A ,{SPACE},2918,4,1416,aurora{SPACE},1719,1,0
1,1,S1,114,DOOR,desk{SPACE},4093,TABLE,4,door{SPACE},1817,10,12,B A N G K O K,{SPACE},9162,4,2081,bangkok{SPACE},2599,0,0
1,1,S1,142,LAND,land{SPACE},3488,PONY,4,land{SPACE},1835,11,12,B A R T E R ,barter{SPACE},3068,1,999,barter{SPACE},1053,1,1
1,1,S1,137,TEAR,wood{SPACE},2850,OAK,4,tear{SPACE},1227,12,12,B E C K H A M,{SPACE},3493,4,1438,beckham{SPACE},2569,0,0
1,1,S1,128,FOUND,drown{SPACE},4666,BLAZE,5,found{SPACE},980,13,14,B I N O M I A L ,equation{SPACE},7321,1,2494,binomial{SPACE},2168,0,0
1,1,S1,127,TEST,colf{SPACE},6772,WICK,4,test{SPACE},743,14,15,C A R C A S S,carcass{SPACE},6053,1,2433,carcass{SPACE},1654,0,1
1,1,S1,120,AFTER,{SPACE},5653,BRIDE,5,after{SPACE},1610,15,18,C A R R O L L,{SPACE},9074,3,1660,carroll{SPACE},1399,0,0
1,1,S1,133,DAY,{SPACE},2201,MISTAKE,3,day{SPACE},987,16,20,C H A M E L E O N,{SPACE},6191,4,1093,chamelion{SPACE},6506,0,0
1,1,S1,104,ANGEL,board{SPACE},4200,TRIM,5,angel{SPACE},2940,17,21,C H U R C H I L L,churchill{SPACE},6141,1,1253,churchill{SPACE},3552,0,1
1,1,S1,126,JUMP,{SPACE},6657,EARLY,4,jump{SPACE},1200,18,22,C L E M E N S,{SPACE},2732,2,1446,clemens{SPACE},1680,0,0
1,1,S1,108,FORK,dust{SPACE},5804,BROOM,4,fork{SPACE},932,19,23,C O N G R U E N T,{SPACE},5307,2,1127,congruent{SPACE},1773,0,0
1,1,S1,136,TEETH,{SPACE},2701,WORST,5,teeth{SPACE},1469,20,27,C O N N E R Y,{SPACE},2861,2,737,connery{SPACE},1445,0,0
1,1,S1,140,INK,dry{SPACE},2783,BACON,3,ink{SPACE},718,21,31,C O V E N A N T ,,0,4,1809,covenant{SPACE},2283,0,0
1,1,S1,113,CAKE,{SPACE},5016,DUNE,4,cake{SPACE},1105,22,31,D A N T E,brown{SPACE},8400,1,1079,dante{SPACE},1021,0,0
1,1,S1,116,HIGH,{SPACE},4590,TILE,4,high{SPACE},1076,23,32,D E F A U L T,default{SPACE},7027,1,902,default{SPACE},4052,0,1
1,1,S1,111,PAIN,pain{SPACE},4617,COD,4,pain{SPACE},949,24,32,D E P L E T E,{SPACE},3900,2,1156,depleat{SPACE},1662,1,0
1,1,S1,112,DIRT,dirt{SPACE},4226,ANTLER,4,dirt{SPACE},1521,25,33,D I V E R G E,{SPACE},3679,2,672,diverge{SPACE},1734,1,0
1,1,S1,103,DAWN,dawn{SPACE},4020,SAD,4,dawn{SPACE},997,26,33,E C C E N T R I C,{SPACE},2905,2,1692,eccentric{SPACE},1934,1,0
1,1,S1,102,ABOVE,above{SPACE},4394,WAG,5,above{SPACE},1619,27,35,E X O R C I S M ,{SPACE},3324,2,1821,exorcism{SPACE},2063,1,0
1,1,S1,146,PEPPER,beard{SPACE},2790,ROW,6,pepper{SPACE},1118,28,36,F A R A D A Y,einste,9949,1,2145,faraday{SPACE},2325,0,0
1,1,S1,118,BELT,leap{SPACE},3888,TOAD,4,belt{SPACE},986,29,41,F O L I A G E,leaves,3998,3,5121,foliage{SPACE},2758,0,0
1,1,S1,122,ANGER,{SPACE},2931,ASSIST,5,anger{SPACE},965,30,44,G A R L A N D,{SPACE},3051,2,951,garland{SPACE},1735,0,0
1,1,S1,110,BEE,zoo{SPACE},2686,DEAD,3,bee{SPACE},839,31,45,G O S L I N G,goosling{SPACE},5234,1,1953,gosling{SPACE},1568,0,1
1,1,S1,125,GIRL,edge{SPACE},3193,SQUARE,4,girl{SPACE},893,32,45,H A N C O C K,jeferson,9205,4,3224,hancock{SPACE},1493,0,0
1,1,S1,143,OLD,oil{SPACE},3322,STAND,3,old{SPACE},719,33,47,H E L S I N K I ,{SPACE},2015,2,1351,helsinki{SPACE},2453,0,0
1,1,S1,130,LEAD,gold{SPACE},2533,VASE,4,lead{SPACE},1157,34,47,H O I S T,raise{SPACE},4866,1,1361,hoist{SPACE},1236,0,0
1,1,S1,123,LEMON,table{SPACE},3017,ROAR,5,lemon{SPACE},1290,35,48,H U S S E I N,{SPACE},3329,2,1682,hussein{SPACE},1604,0,0
1,1,S1,119,HAMMER,{SPACE},1866,PASTE,6,hammer{SPACE},1775,36,50,I D I O S Y N C R A S Y ,{SPACE},3666,2,1828,{SPACE},1464,0,0
1,1,S1,107,ARM,bow{SPACE},5482,SILVER,3,arm{SPACE},1152,37,51,I N T E R J E C T,{SPACE},2413,2,2182,interject{SPACE},2241,0,0
1,1,S1,101,BABY,wood{SPACE},4512,ZOO,4,baby{SPACE},2918,38,57,J A G G E R ,{SPACE},6520,2,2431,jagger{SPACE},1920,0,0
1,1,S1,135,JOKE,leap{SPACE},4959,HOT,4,joke{SPACE},899,39,58,L I B E L,lying{SPACE},5531,1,606,libel{SPACE},2327,0,0
1,1,S1,147,BOOK,door{SPACE},4109,KNOB,4,book{SPACE},1152,40,62,L O Q U A C I O U S ,{SPACE},5053,3,1604,{SPACE},304,0,0
1,1,S1,138,WOOD,wood{SPACE},2263,ACRE,4,wood{SPACE},757,41,63,M A N D E L A,{SPACE},6323,2,2148,mandela{SPACE},1551,1,0
1,1,S1,106,KNIFE,tide{SPACE},2083,RIP,5,knife{SPACE},1957,42,63,M E A G E R ,{SPACE},3984,2,1252,meager{SPACE},1419,0,0
1,1,S1,129,BOARD,water{SPACE},3527,LOST,5,board{SPACE},1369,43,64,M E R C U R Y,{SPACE},2878,2,2354,mercury{SPACE},1748,0,0
1,1,S1,149,BIRD,{SPACE},5828,EXAM,4,bird{SPACE},1009,44,65,M I L L E R ,{SPACE},1317,2,716,miller{SPACE},1210,0,0
1,1,S1,150,MOVIE,after{SPACE},3462,BEFORE,5,movie{SPACE},930,45,67,M I N C E,{SPACE},6794,3,950,mince{SPACE},1317,0,0
1,1,S1,141,BULB,time{SPACE},2677,NIGHT,4,bulb{SPACE},865,46,69,M O N O T O N Y ,{SPACE},2603,2,1467,monotony{SPACE},1926,0,0
1,1,S1,115,WET,{SPACE},5492,HALO,3,wet{SPACE},1349,47,69,M O N R O E ,monroe{SPACE},6315,1,971,monroe{SPACE},1992,0,1
1,1,S1,132,HARD,pole{SPACE},5577,LEAP,4,hard{SPACE},855,48,71,N A I R O B I,{SPACE},4993,2,1034,nairobi{SPACE},6717,0,0
2,1,S1,137,ALIVE,{SPACE},3632,LIGHT,5,alive{SPACE},909,1,1,A B D I C A T E ,{SPACE},9351,2,1209,abdicate{SPACE},2605,0,0
2,1,S1,109,CIRCLE,{SPACE},2660,DRY,6,circle{SPACE},1925,2,2,A B O R I G I N E,indigenous{SPACE},6736,1,1500,aborigine{SPACE},2228,0,0
2,1,S1,116,SIT,{SPACE},4871,SOFT,3,sit{SPACE},614,3,6,A B S T A I N,{SPACE},9518,2,1856,abstain{SPACE},1118,0,0
2,1,S1,107,FLOWER,{SPACE},3053,ARROW,6,flower{SPACE},1261,4,7,A D V O C A T E ,{SPACE},2725,2,1967,advocate{SPACE},2866,0,0
2,1,S1,119,LION,{SPACE},3070,VINE,4,lion{SPACE},829,5,8,A L C O T T ,{SPACE},3112,2,1439,alcott{SPACE},1818,0,0
2,1,S1,123,GLUE,{SPACE},2211,EMPTY,4,glue{SPACE},1258,6,9,A N A C H R O N I S M,,0,2,1622,anachorism{SPACE},2779,0,0
2,1,S1,142,GOLD,gold{SPACE},1728,CREDIT,4,gold{SPACE},905,7,10,A N A G R A M,{SPACE},6208,2,1494,anagram{SPACE},1353,1,0
2,1,S1,127,ANIMAL,{SPACE},2874,FUEL,6,animal{SPACE},1715,8,11,A N D E S,{SPACE},2568,2,1193,andes{SPACE},1136,0,0
2,1,S1,129,COLD,cold{SPACE},2978,TOUCH,4,cold{SPACE},770,9,11,A U R O R A ,aurora{SPACE},6064,1,1515,aurora{SPACE},1215,1,1
2,1,S1,103,DOOR,door{SPACE},2395,TABLE,4,door{SPACE},958,10,12,B A N G K O K,{SPACE},2966,2,3387,bangkok{SPACE},1871,1,0
2,1,S1,113,LAND,tail{SPACE},2660,PONY,4,land{SPACE},1081,11,12,B A R T E R ,bargain{SPACE},7480,1,2950,barter{SPACE},1330,0,0
2,1,S1,115,TEAR,{SPACE},2390,OAK,4,tear{SPACE},838,12,12,B E C K H A M,{SPACE},3414,2,1182,beckham{SPACE},2418,0,0
