Subject,R_Retrieved,R_NotRetrieved,P_Retrieved,P_NotRetrieved,B_Retrieved,B_NotRetrieved,U_Retrieved,U_NotRetrieved
1,0.571428571,0.428571429,0.8,0.2,0.5,0.5,0.5,0.5
2,0.714285714,0.285714286,0.5,0.5,0.8,0.2,0.25,0.75
3,0.888888889,0.111111111,0.5,0.5,1,0,0.333333333,0.666666667
4,0.333333333,0.666666667,0.6,0.4,0.571428571,0.428571429,0.666666667,0.333333333
5,0.333333333,0.666666667,0.285714286,0.714285714,0.625,0.375,0.5,0.5
6,0.5,0.5,NA,NA,0.4,0.6,0.4,0.6
7,0.5,0.5,0.428571429,0.571428571,0.4,0.6,0.666666667,0.333333333
8,0.666666667,0.333333333,0.666666667,0.333333333,0.333333333,0.666666667,0.6,0.4
9,0.666666667,0.333333333,0.666666667,0.333333333,0.6,0.4,0.75,0.25
10,0.75,0.25,0.75,0.25,0.833333333,0.166666667,0.714285714,0.285714286
11,0.5,0.5,0.625,0.375,1,0,0.6,0.4
12,0.666666667,0.333333333,0.5,0.5,0.8,0.2,0.166666667,0.833333333
13,0.25,0.75,1,0,0.666666667,0.333333333,0.333333333,0.666666667
14,0.555555556,0.444444444,0.5,0.5,0.4,0.6,0.4,0.6
15,0,1,0,1,1,0,0.5,0.5
16,0.5,0.5,1,0,0,1,0,1
18,0.5,0.5,0.7,0.3,0.363636364,0.636363636,0.583333333,0.416666667
19,0.571428571,0.428571429,0.428571429,0.571428571,0.75,0.25,0.142857143,0.857142857
20,1,0,1,0,1,0,1,0
21,1,0,1,0,0.75,0.25,1,0
22,0.666666667,0.333333333,0.5,0.5,0.25,0.75,0.4,0.6
23,1,0,0.666666667,0.333333333,1,0,0.5,0.5
24,0.666666667,0.333333333,0.625,0.375,0.666666667,0.333333333,0.4,0.6
25,0.5,0.5,1,0,0.5,0.5,1,0
26,0.666666667,0.333333333,0.6,0.4,0.8,0.2,0.181818182,0.818181818
27,0.75,0.25,0.6,0.4,0.8,0.2,0.285714286,0.714285714
28,0.6,0.4,0.333333333,0.666666667,0.8,0.2,0.636363636,0.363636364
29,0.333333333,0.666666667,1,0,0,1,0,1
30,0.625,0.375,0.9,0.1,0.625,0.375,0.75,0.25
31,0.6,0.4,0.75,0.25,0.571428571,0.428571429,0.4,0.6
33,0.428571429,0.571428571,0.5,0.5,0.444444444,0.555555556,1,0
34,0.25,0.75,0.857142857,0.142857143,0.428571429,0.571428571,0.5,0.5
35,0.916666667,0.083333333,0.714285714,0.285714286,1,0,0.454545455,0.545454545
36,0.8,0.2,0.6,0.4,0.75,0.25,0.666666667,0.333333333
37,0.625,0.375,0.6,0.4,0.8,0.2,0.5,0.5
38,0.75,0.25,0.75,0.25,0.5,0.5,0.8,0.2
39,0.428571429,0.571428571,0,1,0.333333333,0.666666667,0.5,0.5
40,0.8,0.2,0.285714286,0.714285714,0.666666667,0.333333333,0.5,0.5
41,NA,NA,0.5,0.5,0,1,0.2,0.8
42,1,0,0.714285714,0.285714286,0.222222222,0.777777778,0.583333333,0.416666667
43,0.7,0.3,0.833333333,0.166666667,0.545454545,0.454545455,0.75,0.25
44,1,0,0.444444444,0.555555556,0.2,0.8,0.2,0.8
45,0.666666667,0.333333333,0.333333333,0.666666667,0.666666667,0.333333333,0.5,0.5
46,0.888888889,0.111111111,0.8,0.2,0.5,0.5,0.7,0.3
47,0.384615385,0.615384615,0.636363636,0.363636364,1,0,0.555555556,0.444444444
