Subject,Session,Trial,Prime [Trial],PrimeResponse.RESP[Trial],PrimeResponse.RT[Trial],Target[Trial],TargetDefinition.RESP[Trial],TargetDefinition.RT[Trial],TargetQuestion.RESP[Trial],TargetQuestion.RT[Trial],TargetResponse.RESP[Trial],TargetResponse.RT[Trial],PrimeFirstResponseAccuracy,TargetFirstResponseAccuracy,PrimeCondition,RTrecognisePrime,RTrecogniseTarget
1,1,51,r e s i g n ,resign{SPACE},1556,a b d i c a t e ,{SPACE},5488,2,949,abdicate{SPACE},3031,1,0,R,3937,3770
1,1,3,n a t i v e ,native{SPACE},1810,a b o r i g i n e,{SPACE},3725,4,4510,aborigine{SPACE},3652,1,0,R,2986,1237
1,1,10,r e f u s e ,refuse{SPACE},2096,a b s t a i n,abstain{SPACE},8951,1,1445,abstain{SPACE},1850,1,1,R,2666,3943
1,1,55,c o n d o n e,condone{SPACE},954,a d v o c a t e ,{SPACE},6477,3,1207,advocate{SPACE},2504,1,0,R,3721,2233
1,1,67,B r o n t e ,bronte{SPACE},1041,A l c o t t ,{SPACE},2997,2,772,alcott{SPACE},1304,1,0,R,5180,3923
1,1,72,m i s p l a c e ,misplace{SPACE},1611,a n a c h r o n i s m,{SPACE},6849,2,587,anachorism{SPACE},3690,1,0,R,3406,6769
1,1,28,p u z z l e ,puzzle{SPACE},1216,a n a g r a m,anagram{SPACE},4908,1,823,anagram{SPACE},1366,1,1,R,3146,1035
1,1,42,H i m a l a y a s,himylayas{SPACE},4787,A n d e s,andes{SPACE},4196,1,879,andes{SPACE},1402,1,1,R,3665,1097
1,1,19,C i n d e r e l l a ,cinderella{SPACE},1830,A u r o r a ,{SPACE},5338,2,767,aurora{SPACE},1442,1,0,R,2786,4364
1,1,13,V i e t n a m,vietnam{SPACE},2397,B a n g k o k,bangkok{SPACE},3880,1,1005,bangkok{SPACE},1570,1,1,R,3445,1117
1,1,65,t a r i f f ,tariff{SPACE},1322,b a r t e r ,barter{SPACE},4483,1,448,barter{SPACE},1163,1,1,R,3707,1097
1,1,60,M e s s i,messi{SPACE},767,B e c k h a m,{SPACE},7484,3,2379,beckham{SPACE},1986,1,0,R,3995,2599
1,1,30,e q u a t i o n ,equation{SPACE},2593,b i n o m i a l ,{SPACE},5906,3,1189,binomial{SPACE},2335,1,0,R,2851,2597
1,1,37,s k e l e t o n ,skeleton{SPACE},1392,c a r c a s s,{SPACE},6739,3,611,carcass{SPACE},3340,1,0,R,2815,2827
1,1,16,R o w l i n g,rowling{SPACE},1768,C a r r o l l,{SPACE},3867,2,920,carroll{SPACE},1881,1,0,R,4911,4911
1,1,8,g e c k o,gecko{SPACE},1230,c h a m e l e o n,chameleon{SPACE},4862,1,974,chameleon{ENTER}{SPACE},2286,1,1,R,2230,2113
1,1,15,T h a t c h e r ,thatcher{SPACE},2109,C h u r c h i l l,churchill{SPACE},3985,1,790,churchill{SPACE},4949,1,1,R,3677,1423
1,1,69,S a w y e r ,sawyer{SPACE},2153,C l e m e n s,{SPACE},5929,4,1035,clemens{SPACE},1276,1,0,R,4136,2610
1,1,21,C o n g r e s s ,congress{SPACE},1352,c o n g r u e n t,{SPACE},6747,2,558,congruent{SPACE},2436,1,0,P,2869,2455
1,1,5,C o b a i n ,cobain{SPACE},1946,C o n n e r y,conn,9877,4,3193,connery{SPACE},1327,1,0,P,5357,1466
1,1,31,c o n v e n i e n t ,convienient{SPACE},6490,c o v e n a n t ,{SPACE},4593,2,975,covenent{SPACE},2034,1,0,P,4771,3366
1,1,35,d a w n ,dawn{SPACE},1010,D a n t e,dante{SPACE},5063,1,747,dante{SPACE},1120,1,1,P,3232,968
1,1,41,d i f f i c u l t,difficult{SPACE},1727,d e f a u l t,{SPACE},7127,3,1189,default{SPACE},1477,1,0,P,3982,2102
1,1,11,d e p t h,depth{SPACE},1062,d e p l e t e,{SPACE},8263,2,1236,deplete{SPACE},1708,1,0,P,2989,1078
1,1,62,d i g e s t ,digest{SPACE},2399,d i v e r g e,diverge{SPACE},7222,1,862,diverge{SPACE},1778,1,1,P,2345,1598
1,1,68,e c s t a t i c ,ecstatic{SPACE},2422,e c c e n t r i c,{SPACE},5198,2,909,eccentric{SPACE},1503,1,0,P,5275,2382
1,1,48,e x e r c i s e ,excercise{SPACE},2103,e x o r c i s m ,excorcism,9804,1,1998,excorcism{SPACE},4414,1,1,P,2956,1349
1,1,27,F a h r e n h e i t ,farenheiht{SPACE},2831,F a r a d a y,coloumb,8199,1,1416,faraday{SPACE},3590,1,0,P,4211,1076
1,1,63,f o l d i n g,folding{SPACE},911,f o l i a g e,foliage{SPACE},6424,1,695,foliage{SPACE},1106,1,1,P,3679,1214
1,1,4,g a r n i s h,garnish{SPACE},1984,G a r l a n d,{SPACE},6362,3,3414,garland{ENTER}{SPACE},1778,1,0,P,3464,2604
1,1,75,g o b l i n ,goblin{SPACE},1247,g o s l i n g,gosling{SPACE},3781,1,964,gosling{SPACE},2199,1,1,P,2775,787
1,1,38,h a n d l e ,handle{SPACE},1651,H a n c o c k,hancock{SPACE},7099,1,792,hancock{SPACE},1557,1,1,P,3466,2236
1,1,71,h a n d k e r c h i e f ,hankercheif{SPACE},2889,H e l s i n k i ,helsinki{SPACE},4654,1,566,helsinki{SPACE},1589,1,1,P,3657,2721
1,1,59,h o l l y,holly{SPACE},1191,h o i s t,hoist{SPACE},3632,1,947,hoist{SPACE},951,1,1,P,3651,1144
1,1,9,h y m n ,hymn{SPACE},3441,H u s s e i n,hussein{SPACE},7392,1,1215,hussein{SPACE},2884,1,1,P,3164,5332
1,1,50,i d i o t,idiot{SPACE},1021,i d i o s y n c r a s y ,idioscincrisy{SPACE},7706,1,1118,idioscincrasy{SPACE},5685,1,1,P,3255,3118
1,1,64,i n t e r f e r e,interfere{SPACE},2704,i n t e r j e c t,{SPACE},6762,3,1011,interject{SPACE},2113,1,0,B,4791,1776
1,1,18,J a c k s o n,jackson{SPACE},1285,J a g g e r ,{SPACE},9435,4,1974,jaeger{SPACE},4619,1,0,B,2617,1641
1,1,44,l i t i g a t e ,litigate{SPACE},1780,l i b e l,libel{SPACE},7798,1,1062,libel{SPACE},979,1,1,B,4766,1650
1,1,36,l a c o n i c,laconic{SPACE},1649,l o q u a c i o u s ,{SPACE},4775,3,824,loquacious{SPACE},3894,1,0,B,5476,2911
1,1,40,M e n d e l ,mendel{SPACE},1333,M a n d e l a,{SPACE},6603,4,2083,mandela{SPACE},2675,1,0,B,3253,2585
1,1,66,m i n i m u m,minimum{SPACE},2899,m e a g e r ,minute{SPACE},7809,3,2178,meager{SPACE},1199,1,0,B,4212,3940
1,1,17,M c C a r t n e y,mc{SHIFT}Cartney{SPACE},6237,M e r c u r y,{SHIFT}Mercury{SPACE},5339,1,856,{SHIFT}Mercury{SPACE},2266,1,1,B,4722,1230
1,1,2,M e l v i l l e ,melville{SPACE},2360,M i l l e r ,{SPACE},4580,2,2257,miller{ENTER}{SPACE},1606,1,0,B,6935,3427
1,1,23,m a s h ,mash{SPACE},1085,m i n c e,mince{SPACE},4608,1,331,mince{SPACE},736,1,1,B,3177,903
1,1,47,m o n o g a m y ,monogomy{SPACE},2397,m o n o t o n y ,monotonous{SPACE},7925,1,975,monotony{SPACE},1549,1,1,B,2593,3494
1,1,45,M a d o n n a,madona{SPACE},1288,M o n r o e ,monroe{SPACE},5199,1,738,monroe{SPACE},1484,1,1,B,3138,815
1,1,52,N i l e ,nail{SPACE},2678,N a i r o b i,{SPACE},4070,2,787,nairobi{SPACE},1573,0,0,B,2804,4686
1,1,74,n e u t r a l i z e ,neutralize{SPACE},1942,n u l l i f y,negate{SPACE},8197,3,1075,nullify{SPACE},2933,1,0,B,3421,2935
1,1,57,N a z i s,nazis{SPACE},1451,N u r e m b e r g,{SPACE},8506,2,5949,nuremburg{SPACE},5493,1,0,B,2624,2390
1,1,24,o p a q u e ,opaque{SPACE},3004,o b s c u r e,{SPACE},7325,3,1840,obscure{SPACE},3368,1,0,B,3310,1817
1,1,46,o m n i s c i e n t ,omniscient{SPACE},2508,o m n i p o t e n t ,omnisci,9897,3,2157,omnipotent{SPACE},2795,1,0,B,5218,2692
1,1,22,o b v i o u s,obvious{SPACE},2098,o s t e n t a t i o u s ,obstentaious{SPACE},6885,1,2251,ostentatious{SPACE},5966,1,1,B,3146,6221
1,1,76,O s a m a,osama{SPACE},1727,O s w a l d ,oswald{SPACE},4731,1,650,oswald{SPACE},2229,1,1,B,4468,1274
1,1,73,a b d o m e n,abdomen{SPACE},2125,O t t a w a ,quebec{SPACE},8417,1,1609,ottawa{SPACE},2204,1,0,U,3177,4178
1,1,12,a b o r t i o n ,abortion{SPACE},2644,p a n a c e a,{SPACE},6304,3,2590,panacea{SPACE},2447,1,0,U,3646,6275
1,1,56,a b s o l v e,absolve{SPACE},1615,p a r a g o n,{SPACE},7704,3,1069,paragon{SPACE},2729,1,0,U,2681,2755
1,1,25,a d v e r b ,adverb{SPACE},2227,p o l y g a m y ,polygamy{SPACE},4182,1,719,polygamy{SPACE},1550,1,1,U,4285,749
1,1,61,a l c h e m y,alchemy{SPACE},1349,p r e c o c i o u s ,{SPACE},7820,4,3562,precocious{SPACE},4020,1,0,U,2654,4415
1,1,6,a n a e r o b i c,anerobic{SPACE},2260,p r o p h e c y ,,0,2,2100,prophecy{SPACE},2388,1,0,U,4417,1567
1,1,33,c o m p a t i b l e ,compatible{SPACE},1962,S e o u l,seoul{SPACE},8451,1,840,seoul{SPACE},2709,1,1,U,4788,1086
1,1,14,C r u i s e ,cruise{SPACE},1135,S h a w ,{SPACE},4264,2,1105,shaw{SPACE},855,1,0,U,3292,2473
1,1,54,c o n t r a c t ,contract{SPACE},1521,S i c i l y ,{SPACE},6318,4,2159,sicily{SPACE},1470,1,0,U,4665,2328
1,1,32,D e v i l,devil{SPACE},1029,S k y w a l k e r,skywalker{SPACE},7721,1,726,skywalker{SPACE},2703,1,1,U,1966,884
1,1,29,d e f e c t ,defect{SPACE},1895,s u r r o g a t e,{SPACE},5477,2,1307,surrogate{SPACE},2076,1,0,U,4703,1581
1,1,34,d e l e t e ,delete{SPACE},1183,T h o r e a u,thorough{SPACE},5753,1,1604,thoreau{SPACE},2208,0,1,U,2912,3231
1,1,70,m e n t i o n,mention{SPACE},954,t i c,twitch{SPACE},9728,3,1119,tic{SPACE},885,0,0,U,3425,1705
1,1,43,T y l e r,tyler{SPACE},1705,t s u n a m i,tsunami{SPACE},7614,1,919,tsunami{SPACE},2563,1,1,U,3293,2117
1,1,49,p e r j u r y,perjury{SPACE},2741,T u r i n g ,{SPACE},6856,4,1761,turing{SPACE},1163,0,0,U,3214,1695
