TMask1.RESP[Trial],TMask2.RESP[Trial],TMask3.RESP[Trial],TMask4.RESP[Trial],TMask5.RESP[Trial],TMask6.RESP[Trial],TMask7.RESP[Trial],TMask8.RESP[Trial],TMask9.RESP[Trial],TMask10.RESP[Trial],TMask11.RESP[Trial],TMask12.RESP[Trial],TMask13.RESP[Trial],TMask14.RESP[Trial],TMask15.RESP[Trial],TMask16.RESP[Trial],TMask17.RESP[Trial],TMask18.RESP[Trial],TMask1.RT[Trial],TMask2.RT[Trial],TMask3.RT[Trial],TMask4.RT[Trial],TMask5.RT[Trial],TMask6.RT[Trial],TMask7.RT[Trial],TMask8.RT[Trial],TMask9.RT[Trial],TMask10.RT[Trial],TMask11.RT[Trial],TMask12.RT[Trial],TMask13.RT[Trial],TMask14.RT[Trial],TMask15.RT[Trial],TMask16.RT[Trial],TMask17.RT[Trial],TMask18.RT[Trial]
0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,102
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,{SPACE},0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,102
0,0,0,0,0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,337,0,0,201,0,0,0,0,0,0,0,0,102
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,102
0,{SPACE},0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,{SPACE},0,458,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,102
0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,37,0,0,0,0,0,0,0,0
0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,0,{SPACE},0,0,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
0,0,0,{SPACE},0,0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,245,0,0,306,0,0,37,0,0,0,0,0,0,0,0
0,0,0,0,{SPACE},{SPACE},0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,373,273,0,0,0,37,0,0,0,0,0,0,0,0
0,{SPACE},0,0,{SPACE},{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,{SPACE},0,457,0,0,2,362,0,0,201,0,0,0,0,0,0,0,0,102
0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,102
0,0,0,{SPACE},0,{SPACE},0,0,{SPACE},0,0,0,0,0,0,0,0,{SPACE},0,0,0,236,0,337,0,0,201,0,0,0,0,0,0,0,0,102
0,0,0,{SPACE},0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,{SPACE},0,0,0,162,0,236,113,0,0,0,0,0,0,0,0,0,0,102
0,0,0,0,0,{SPACE},0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0,0,37,0,0,0,0,0,0,0,0
0,0,0,0,0,{SPACE},{SPACE},0,0,0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,0,236,113,0,0,0,0,0,0,0,0,0,0,102
0,0,0,0,{SPACE},0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,203,0,0,0,0,0,0,0,0,0
0,0,0,0,{SPACE},0,0,0,0,0,0,0,0,0,0,0,0,{SPACE},0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,102
