"","PrimeMaskNo","PrimeNo","TargetMaskNo","TargetNo","PrimeMaskRT","PrimeNoRT","TargetMaskRT","TargetNoRT","RTrecognisePrime","RTrecogniseTarget"
"1",5,99,3,5,6,NA,359,27,2070,1391
"2",4,99,7,5,277,NA,359,59,1825,2123
"3",4,99,10,99,31,NA,52,NA,1579,4696
"4",6,4,4,9,305,2,219,100,1550,1767
"5",7,99,6,7,273,NA,280,108,3369,2860
"6",4,99,99,9,163,NA,NA,100,1711,4228
"7",4,99,6,99,55,NA,4,NA,1603,2584
"8",5,99,7,5,180,NA,368,40,2244,2104
"9",6,99,5,9,299,NA,248,100,2879,2312
"10",7,4,6,9,237,7,206,100,1555,2786
"11",6,4,7,99,130,35,202,NA,1583,3298
"12",6,99,4,7,407,NA,305,108,2987,1853
"13",5,99,5,9,252,NA,317,100,2316,2381
"14",5,99,2,9,195,NA,436,100,2259,952
"15",8,99,7,99,105,NA,356,NA,3717,3452
"16",5,99,3,99,274,NA,218,NA,2338,1250
"17",8,99,5,7,162,NA,224,109,3774,2288
"18",4,99,8,99,332,NA,238,NA,1880,3850
"19",5,99,6,7,305,NA,261,77,2369,2841
"20",7,99,4,7,232,NA,280,77,3328,1828
"21",6,99,3,99,172,NA,315,NA,2752,1347
"22",6,99,3,7,54,NA,246,77,2634,1278
"23",5,99,5,99,378,NA,415,NA,2442,2479
"24",5,99,10,7,339,NA,52,77,2403,3173
"25",5,99,3,5,413,NA,288,27,2477,1320
"26",6,99,9,99,297,NA,124,NA,2877,4252
"27",5,99,3,7,222,NA,220,77,2286,1252
"28",5,99,8,99,156,NA,15,NA,2220,3627
"29",5,99,4,9,286,NA,135,100,2350,1683
"30",7,99,4,9,282,NA,121,100,3378,1669
"31",5,99,3,7,329,NA,233,77,2393,1265
"32",6,99,3,9,305,NA,328,100,2885,1360
"33",4,99,10,99,356,NA,155,NA,1904,4799
"34",8,6,6,99,103,50,190,NA,2630,2770
"35",5,99,4,9,303,NA,257,100,2367,1805
"36",6,99,5,7,295,NA,250,77,2875,2314
"37",5,99,4,99,323,NA,348,NA,2387,1896
"38",8,5,6,99,105,67,172,NA,2131,2752
"39",8,5,6,99,105,52,144,NA,2116,2724
"40",4,99,10,7,274,NA,52,108,1822,3204
"41",6,99,4,99,80,NA,444,NA,2660,1992
"42",4,99,7,99,409,NA,368,NA,1957,3464
"43",5,3,2,7,78,13,241,77,1045,757
"44",4,99,5,7,6,NA,280,77,1554,2344
"45",7,99,4,5,86,NA,3,59,3182,1551
"46",8,99,7,99,103,NA,308,NA,3715,3404
"47",4,99,6,99,61,NA,193,NA,1609,2773
"48",6,99,5,99,130,NA,231,NA,2710,2295
"49",6,99,4,7,157,NA,406,77,2737,1954
"50",6,99,6,9,228,NA,329,100,2808,2909
"51",5,99,5,99,324,NA,374,NA,2388,2438
"52",6,99,3,9,181,NA,279,100,2761,1311
"53",6,99,10,5,130,NA,52,27,2710,2091
"54",6,99,7,99,146,NA,146,NA,2726,3242
"55",9,6,7,9,327,53,359,100,2633,3455
"56",4,99,1,7,312,NA,387,108,1860,903
"57",5,99,8,99,370,NA,74,NA,2434,3686
"58",4,99,2,5,26,NA,269,27,1574,785
"59",7,99,8,9,237,NA,298,100,3333,3910
"60",4,99,10,5,314,NA,52,35,1862,2099
"61",5,99,6,99,266,NA,155,NA,2330,2735
"62",3,99,7,99,340,NA,192,NA,1372,3288
"63",5,99,10,7,150,NA,52,109,2214,3205
"64",4,99,3,9,373,NA,285,100,1921,1317
"65",5,99,2,7,78,NA,386,77,2142,902
"66",99,5,6,99,NA,2,63,NA,2066,2643
"67",3,99,3,99,207,NA,248,NA,1239,1280
"68",5,99,1,99,275,NA,165,NA,2339,681
"69",5,99,8,99,109,NA,337,NA,2173,3949
"70",7,99,3,7,364,NA,78,77,3460,1110
"71",4,99,4,5,349,NA,32,27,1897,1580
"72",9,99,4,7,327,NA,108,77,4455,1656
