,PrimeMaskNo,PrimeNo,TargetMaskNo,TargetNo,PrimeMaskRT,PrimeNoRT,TargetMaskRT,TargetNoRT,RTrecognisePrime,RTrecogniseTarget
1,6,99,11,16,146,NA,301,10,2726,5461
2,8,13,99,14,337,12,NA,163,3949,6871
3,14,99,9,14,257,NA,189,25,6965,4317
4,14,10,13,6,17,32,80,27,4676,2607
5,8,13,9,99,383,12,358,NA,3995,4486
6,7,99,99,99,136,NA,NA,NA,3232,9288
7,5,7,10,13,131,8,90,95,2195,4734
8,11,9,3,10,79,20,354,14,4148,1386
9,6,7,8,13,36,8,314,95,2616,3926
10,9,10,12,99,222,32,301,NA,4350,5977
11,8,9,99,10,294,86,NA,19,3906,4663
12,1,13,7,14,0,12,196,163,516,3292
13,14,7,13,99,17,43,80,NA,3139,6272
14,6,13,12,99,157,12,170,NA,2737,5846
15,9,7,9,13,89,8,44,95,3104,4172
16,7,9,99,13,324,20,NA,94,3420,6286
17,11,8,9,7,79,7,218,101,3619,3197
18,8,9,10,16,291,20,23,10,3903,4667
19,5,99,5,99,321,NA,287,NA,2385,2351
20,9,13,12,99,149,12,229,NA,4277,5905
21,99,13,10,99,NA,12,290,NA,6204,4934
22,6,99,4,10,252,NA,324,19,2832,1872
23,6,99,3,13,16,NA,340,95,2596,1372
24,9,4,7,13,89,40,383,95,1588,3479
25,5,99,5,10,258,NA,232,19,2322,2296
26,11,99,99,10,79,NA,NA,14,5239,4658
27,8,99,5,99,277,NA,59,NA,3889,2123
28,11,9,7,11,265,86,214,4,4214,3310
29,11,99,7,13,49,NA,309,95,5209,3405
30,5,6,10,14,139,77,84,163,2203,4728
31,6,13,9,99,278,12,336,NA,2858,4464
32,5,99,14,12,53,NA,107,7,2117,5683
33,12,9,99,14,108,8,NA,25,4136,6733
34,5,99,6,11,335,NA,11,4,2399,2591
35,5,99,10,13,222,NA,318,95,2286,4962
36,11,6,11,16,37,11,88,10,2591,5248
37,8,6,7,14,337,77,314,163,2657,3410
38,11,6,9,10,79,49,218,14,2629,4346
39,11,99,9,11,265,NA,69,4,5425,4197
40,11,99,6,10,37,NA,345,19,5197,2925
41,5,99,8,13,309,NA,286,95,2373,3898
42,99,11,9,99,NA,134,5,NA,5294,4133
43,9,99,99,11,105,NA,NA,4,4233,5164
44,8,99,6,14,366,NA,342,25,3978,2922
45,6,99,6,7,92,NA,350,89,2672,2930
46,13,99,10,99,157,NA,196,NA,6349,4840
47,6,99,6,16,393,NA,186,10,2973,2766
48,5,13,14,99,224,12,256,NA,2288,6964
49,10,13,8,99,82,12,36,NA,4726,3648
50,7,8,11,16,268,7,190,10,3364,5350
51,5,99,10,7,343,NA,318,89,2407,3185
52,14,99,10,13,17,NA,118,94,6725,4762
53,5,99,99,16,318,NA,NA,10,2382,7750
54,12,13,7,99,108,12,77,NA,5784,3173
55,13,99,9,7,25,NA,5,50,6217,3146
56,5,99,99,13,372,NA,NA,95,2436,6287
57,9,99,10,13,89,NA,276,95,4217,4920
58,6,99,9,13,214,NA,125,95,2794,4253
59,5,7,14,99,319,8,107,NA,2383,6815
60,7,99,9,99,213,NA,306,NA,3309,4434
61,6,13,8,14,283,12,31,163,2863,3643
62,6,99,5,7,303,NA,57,89,2883,2121
63,5,7,8,13,291,8,226,95,2355,3838
64,13,5,7,99,25,6,67,NA,2070,3163
65,5,7,8,13,258,8,271,95,2322,3883
66,8,99,9,14,74,NA,30,25,3686,4158
67,10,13,3,14,186,12,306,163,4830,1338
68,6,10,12,99,238,32,197,NA,2818,5873
69,8,6,9,99,383,41,303,NA,2621,4431
70,7,99,6,14,185,NA,254,25,3281,2834
71,6,99,6,13,269,NA,417,95,2849,2997
72,9,5,4,13,89,58,430,95,2122,1978
